Player,Pos,ADP,+/-,%,σ
Bijan Robinson,RB1,1.4,-0.2,-16.7%,0.1
Jahmyr Gibbs,RB2,1.8,2.2,55.0%,0.6
Ja'Marr Chase,WR1,3.4,-0.1,-3.0%,0.2
Puka Nacua,WR2,3.9,-1.5,-62.5%,0.4
Jaxon Smith-Njigba,WR3,5.1,-0.5,-10.9%,0.1
Jonathan Taylor,RB3,6.4,1.0,13.5%,0.2
Christian McCaffrey,RB4,7.5,0.6,7.4%,0.3
CeeDee Lamb,WR4,8.5,-1.5,-21.4%,0.5
Amon-Ra St. Brown,WR5,9.0,1.3,12.6%,0.2
Justin Jefferson,WR6,10.1,5.3,34.4%,2.0
James Cook,RB5,11.0,-1.2,-12.2%,0.3
Ashton Jeanty,RB6,11.9,4.2,26.1%,1.0
De'Von Achane,RB7,13.5,-3.0,-28.6%,0.9
Omarion Hampton,RB8,15.3,2.4,13.6%,0.7
Jeremiyah Love,RB9,15.6,6.2,28.4%,1.7
Saquon Barkley,RB10,16.0,1.0,5.9%,0.5
Malik Nabers,WR7,17.7,-3.0,-20.4%,1.2
Trey McBride,TE1,18.9,-5.7,-43.2%,1.7
Kenneth Walker III,RB11,19.1,17.3,47.5%,5.1
Drake London,WR8,19.5,-5.1,-35.4%,1.5
Derrick Henry,RB12,20.4,1.5,6.8%,0.6
Chase Brown,RB13,21.9,2.3,9.5%,0.7
Brock Bowers,TE2,23.3,-3.6,-18.3%,1.2
George Pickens,WR9,23.9,-2.5,-11.7%,0.6
Nico Collins,WR10,24.4,-1.5,-6.6%,0.5
Chris Olave,WR11,27.0,-0.8,-3.1%,0.5
Josh Jacobs,RB14,27.2,2.9,9.6%,0.8
Josh Allen,QB1,29.0,-2.6,-9.8%,1.0
A.J. Brown,WR12,29.4,1.9,6.1%,1.5
Travis Etienne Jr.,RB15,30.3,6.2,17.0%,2.9
Tetairoa McMillan,WR13,31.6,-1.8,-6.0%,0.7
Breece Hall,RB16,32.4,3.3,9.2%,1.6
Tee Higgins,WR14,32.9,-3.2,-10.8%,1.1
Kyren Williams,RB17,34.3,-0.7,-2.1%,0.7
Rashee Rice,WR15,35.1,-8.9,-34.0%,3.9
Garrett Wilson,WR16,36.6,5.3,12.6%,1.0
Bucky Irving,RB18,36.9,-5.2,-16.4%,3.2
Ladd McConkey,WR17,38.8,-1.5,-4.0%,0.9
Emeka Egbuka,WR18,39.0,17.4,30.9%,4.2
Javonte Williams,RB19,40.4,31.6,43.9%,8.0
Zay Flowers,WR19,40.6,4.8,10.6%,1.3
DeVonta Smith,WR20,41.5,2.0,4.6%,1.2
Luther Burden,WR21,42.3,11.8,21.8%,3.0
Jameson Williams,WR22,45.1,-8.9,-24.6%,2.3
Colston Loveland,TE3,46.0,-3.9,-9.3%,1.6
Jaylen Waddle,WR23,47.2,23.3,33.0%,4.4
Terry McLaurin,WR24,47.5,18.1,27.6%,3.9
TreVeyon Henderson,RB20,48.7,-2.9,-6.3%,1.3
Davante Adams,WR25,48.8,-8.4,-20.8%,2.4
Mike Evans,WR26,49.8,18.2,26.8%,7.9
Lamar Jackson,QB2,50.9,-2.7,-5.6%,1.7
Rome Odunze,WR27,52.8,4.4,7.7%,2.5
Quinshon Judkins,RB21,53.8,7.3,11.9%,1.6
D.J. Moore,WR28,54.1,34.8,39.1%,16.4
Carnell Tate,WR29,56.5,-4.3,-8.2%,1.5
Cam Skattebo,RB22,56.8,-9.5,-20.1%,5.4
Bhayshul Tuten,RB22,56.8,35.1,38.2%,9.6
David Montgomery,RB24,57.0,71.2,55.5%,22.2
Christian Watson,WR30,58.7,-5.1,-9.5%,1.3
D'Andre Swift,RB25,60.6,-4.4,-7.8%,1.3
Brian Thomas,WR31,61.9,17.2,21.7%,4.4
Jayden Daniels,QB3,62.4,11.0,15.0%,2.6
Makai Lemon,WR32,63.4,-1.8,-2.9%,2.5
Marvin Harrison,WR33,64.7,9.3,12.6%,2.4
Joe Burrow,QB4,64.7,7.4,10.3%,1.7
RJ Harvey,RB26,66.5,-20.3,-43.9%,6.4
Tyler Warren,TE4,68.1,-0.8,-1.2%,1.3
Caleb Williams,QB5,68.5,-12.4,-22.1%,2.9
Alec Pierce,WR34,68.8,-7.6,-12.4%,4.9
Jalen Hurts,QB6,69.6,8.6,11.0%,2.0
Jordyn Tyson,WR35,70.8,-20.8,-41.6%,5.5
Drake Maye,QB7,71.9,-32.2,-81.1%,8.9
Parker Washington,WR36,72.9,13.0,15.1%,2.4
Chuba Hubbard,RB27,73.8,21.1,22.2%,6.8
Courtland Sutton,WR37,74.3,-17.1,-29.9%,4.8
DK Metcalf,WR38,76.9,-12.5,-19.4%,4.1
Michael Wilson,WR39,77.5,-8.6,-12.5%,2.7
Jaylen Warren,RB28,78.1,-2.7,-3.6%,2.2
Rhamondre Stevenson,RB29,79.2,-9.6,-13.8%,4.6
Harold Fannin,TE5,80.4,-10.0,-14.2%,2.3
Dak Prescott,QB8,80.6,16.6,17.1%,3.8
Justin Herbert,QB9,82.6,-18.2,-28.3%,4.2
Trevor Lawrence,QB10,83.9,-6.3,-8.1%,1.6
Ricky Pearsall,WR40,85.2,3.3,3.7%,3.7
Jaxson Dart,QB11,86.5,-14.1,-19.5%,3.5
Jordan Addison,WR41,87.1,24.0,21.6%,5.7
Jakobi Meyers,WR42,87.2,3.4,3.8%,1.3
Tyler Allgeier,RB30,87.5,41.0,31.9%,9.6
Tucker Kraft,TE6,89.2,-1.1,-1.2%,2.4
Patrick Mahomes,QB12,89.3,5.6,5.9%,1.7
Rico Dowdle,RB31,91.3,13.5,12.9%,4.2
Chris Godwin,WR43,91.4,28.6,23.8%,9.6
Kyle Monangai,RB32,93.4,-5.5,-6.3%,3.0
Brock Purdy,QB13,94.6,13.6,12.6%,3.1
Romeo Doubs,WR44,95.7,16.5,14.7%,15.0
Bo Nix,QB14,97.1,9.3,8.7%,2.4
Michael Pittman Jr.,WR45,97.5,-11.4,-13.2%,2.0
Kyle Pitts,TE7,99.0,-47.0,-90.4%,9.1
Blake Corum,RB33,99.8,-7.4,-8.0%,2.9
Quentin Johnston,WR46,101.4,-14.6,-16.8%,5.3
Sam LaPorta,TE8,101.6,-5.9,-6.2%,3.2
Matthew Stafford,QB15,102.3,-15.0,-17.2%,2.5
J.K. Dobbins,RB34,102.3,64.0,38.5%,14.9
Wan'Dale Robinson,WR47,102.4,2.2,2.1%,3.5
Tony Pollard,RB35,105.1,-19.9,-23.4%,5.8
Jared Goff,QB16,105.4,14.4,12.0%,3.0
Jayden Reed,WR48,105.6,4.1,3.7%,3.1
Kyler Murray,QB17,106.1,45.7,30.1%,17.1
Jadarian Price,RB36,108.3,-11.2,-11.5%,3.6
Jordan Love,QB18,109.1,8.5,7.2%,2.1
Xavier Worthy,WR49,109.2,-0.4,-0.4%,3.9
Baker Mayfield,QB19,111.5,20.9,15.8%,4.4
Oronde Gadsden,TE9,112.2,-0.1,-0.1%,3.0
Kenneth Gainwell,RB37,114.5,16.5,12.6%,6.1
Jalen Coker,WR50,116.6,-2.7,-2.4%,1.5
KC Concepcion,WR51,117.1,45.7,28.1%,7.1
Tyler Shough,QB20,118.6,27.4,18.8%,5.5
Jordan Mason,RB38,119.8,39.3,24.7%,14.8
Dalton Kincaid,TE10,119.9,-25.4,-26.9%,5.6
Josh Downs,WR52,121.3,9.4,7.2%,11.7
Matthew Golden,WR53,121.8,4.3,3.4%,1.4
